Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Domestic_Gross, USD_Worldwide_Gross 
38,25-Apr-12,The Avengers,"  $225,000,000 ","  $623,357,910 ","  $1,515,100,211 "
39,6-Jul-06,Pirates of the Caribbean: Dead Man’s Chest,"  $225,000,000 ","  $423,315,812 ","  $1,066,179,725 "
40,14-Jun-13,Man of Steel,"  $225,000,000 ","  $291,045,518 ","  $667,999,518 "
41,16-May-08,The Chronicles of Narnia: Prince Caspian,"  $225,000,000 ","  $141,621,490 ","  $417,341,288 "
42,2-Jul-13,The Lone Ranger,"  $225,000,000 ","  $89,302,115 ","  $260,002,115 "
43,27-Jun-12,The Amazing Spider-Man,"  $220,000,000 ","  $262,717,220 ","  $758,576,824 "
44,11-Apr-12,Battleship,"  $220,000,000 ","  $65,233,400 ","  $313,477,717 "
45,20-Jun-17,Transformers: The Last Knight,"  $217,000,000 ","  $130,168,683 ","  $602,893,340 "
46,9-Jun-15,Jurassic World,"  $215,000,000 ","  $653,406,625 ","  $1,671,063,641 "
47,23-May-12,Men in Black 3,"  $215,000,000 ","  $179,020,854 ","  $654,213,485 "
48,24-Jun-09,Transformers: Revenge of the Fallen,"  $210,000,000 ","  $402,111,870 ","  $836,519,699 "
49,25-Jun-14,Transformers: Age of Extinction,"  $210,000,000 ","  $245,439,076 ","  $1,104,054,072 "
50,26-May-06,X-Men: The Last Stand,"  $210,000,000 ","  $234,362,462 ","  $459,260,946 "
51,14-May-10,Robin Hood,"  $210,000,000 ","  $105,487,148 ","  $322,459,006 "
52,14-Dec-05,King Kong,"  $207,000,000 ","  $218,080,025 ","  $550,517,357 "
53,20-Dec-23,Aquaman and the Lost Kingdom,"  $205,000,000 ","  $124,481,226 ","  $433,845,564 "
54,7-Dec-07,The Golden Compass,"  $205,000,000 ","  $70,107,728 ","  $367,262,558 "
55,26-Aug-20,Tenet,"  $205,000,000 ","  $58,504,105 ","  $359,518,466 "
56,14-Dec-21,Spider-Man: No Way Home,"  $200,000,000 ","  $814,811,535 ","  $1,921,206,586 "
57,13-Feb-18,Black Panther,"  $200,000,000 ","  $700,059,566 ","  $1,334,157,082 "
58,18-Dec-97,Titanic,"  $200,000,000 ","  $674,460,013 ","  $2,223,048,786 "
59,12-Jun-24,Inside Out 2,"  $200,000,000 ","  $652,980,194 ","  $1,698,371,725 "
60,24-Jul-24,Deadpool & Wolverine,"  $200,000,000 ","  $636,745,858 ","  $1,338,057,499 "
61,15-Jun-18,Incredibles 2,"  $200,000,000 ","  $608,581,744 ","  $1,242,805,359 "
62,16-Jun-16,Finding Dory,"  $200,000,000 ","  $486,295,561 ","  $1,025,006,125 "
63,20-Jun-19,Toy Story 4,"  $200,000,000 ","  $434,038,008 ","  $1,072,817,964 "
64,18-Jun-10,Toy Story 3,"  $200,000,000 ","  $415,004,880 ","  $1,068,879,522 "
65,4-May-22,Doctor Strange in the Multiverse of Madness,"  $200,000,000 ","  $411,331,607 ","  $952,224,986 "
66,24-Apr-13,Iron Man 3,"  $200,000,000 ","  $408,992,272 ","  $1,214,630,956 "
67,28-Apr-17,Guardians of the Galaxy Vol 2,"  $200,000,000 ","  $389,813,101 ","  $869,087,963 "
68,30-Jun-04,Spider-Man 2,"  $200,000,000 ","  $374,715,055 ","  $795,888,127 "
69,1-Mar-22,The Batman,"  $200,000,000 ","  $369,345,583 ","  $765,950,479 "
70,4-Mar-10,Alice in Wonderland,"  $200,000,000 ","  $334,191,110 ","  $1,025,491,110 "
71,26-Oct-12,Skyfall,"  $200,000,000 ","  $304,360,277 ","  $1,110,526,981 "
72,11-Dec-12,The Hobbit: An Unexpected Journey,"  $200,000,000 ","  $303,003,568 ","  $1,014,938,545 "
73,21-Jun-13,Monsters University,"  $200,000,000 ","  $268,488,329 ","  $743,455,810 "
74,8-Mar-13,Oz the Great and Powerful,"  $200,000,000 ","  $234,770,996 ","  $490,359,051 "
75,21-May-14,X-Men: Days of Future Past,"  $200,000,000 ","  $233,921,534 ","  $747,862,775 "
76,15-Feb-23,Ant-Man and the Wasp: Quantumania,"  $200,000,000 ","  $214,506,909 ","  $463,635,303 "
77,16-Apr-14,The Amazing Spider-Man 2,"  $200,000,000 ","  $203,530,343 ","  $709,672,746 "
78,23-Jun-11,Cars 2,"  $200,000,000 ","  $191,450,875 ","  $560,155,383 "
79,7-Jul-21,Black Widow,"  $200,000,000 ","  $183,651,655 ","  $379,751,131 "
80,31-Jul-19,Fast & Furious Presents: Hobbs & Shaw,"  $200,000,000 ","  $173,956,935 ","  $760,732,926 "
81,20-May-21,F9: The Fast Saga,"  $200,000,000 ","  $173,005,945 ","  $719,360,068 "
82,16-Dec-10,Tron: Legacy,"  $200,000,000 ","  $172,062,763 ","  $399,866,199 "
83,19-Oct-22,Black Adam,"  $200,000,000 ","  $168,283,344 ","  $390,455,088 "
84,12-Nov-09,2012,"  $200,000,000 ","  $166,112,167 ","  $757,677,748 "
85,3-Nov-21,Eternals,"  $200,000,000 ","  $164,870,264 ","  $401,731,759 "
86,14-Nov-18,Fantastic Beasts: The Crimes of Grindelwald,"  $200,000,000 ","  $159,555,901 ","  $648,455,339 "
87,14-Jun-23,Elemental,"  $200,000,000 ","  $154,426,697 ","  $484,829,737 "
88,21-May-09,Terminator Salvation,"  $200,000,000 ","  $125,322,469 ","  $365,491,792 "
89,15-Jun-22,Lightyear,"  $200,000,000 ","  $118,307,188 ","  $218,878,024 "
90,28-Jul-21,Jungle Cruise,"  $200,000,000 ","  $116,987,516 ","  $210,469,803 "
91,17-Jun-11,Green Lantern,"  $200,000,000 ","  $116,601,172 ","  $219,535,492 "
92,13-Jun-23,The Flash,"  $200,000,000 ","  $108,167,507 ","  $266,550,332 "
93,6-Apr-22,Fantastic Beasts: The Secrets of Dumbledore,"  $200,000,000 ","  $95,850,844 ","  $404,560,145 "
94,28-May-10,Prince of Persia: Sands of Time,"  $200,000,000 ","  $90,759,676 ","  $336,359,676 "
95,6-Nov-24,Red One,"  $200,000,000 ","  $76,056,000 ","  $148,656,000 "
96,18-Oct-23,Killers of the Flower Moon,"  $200,000,000 ","  $68,026,901 ","  $156,424,331 "
97,5-Jun-19,Dark Phoenix,"  $200,000,000 ","  $65,845,974 ","  $246,356,895 "
98,22-Nov-23,Wish,"  $200,000,000 ","  $63,973,821 ","  $240,438,115 "
99,28-Feb-20,Onward,"  $200,000,000 ","  $61,555,145 ","  $133,357,601 "
100,22-Nov-23,Napoleon,"  $200,000,000 ","  $61,524,375 ","  $217,917,156 "
101,16-Dec-20,Wonder Woman 1984,"  $200,000,000 ","  $46,801,036 ","  $166,360,232 "
102,31-Jan-24,Argylle,"  $200,000,000 ","  $45,207,275 ","  $96,214,128 "
103,4-Sep-20,Mulan,"  $200,000,000 ",  $0 ,"  $69,973,540 "
104,2-Jul-21,The Tomorrow War,"  $200,000,000 ",  $0 ,"  $19,220,000 "
105,13-Jul-22,The Gray Man,"  $200,000,000 ",  $0 ,"  $451,178 "
106,29-Jun-11,Transformers: Dark of the Moon,"  $195,000,000 ","  $352,390,543 ","  $1,123,794,079 "
107,6-Jun-23,Transformers: Rise of the Beasts,"  $195,000,000 ","  $157,341,749 ","  $439,241,749 "
108,2-Jun-17,The Mummy,"  $195,000,000 ","  $80,101,125 ","  $409,953,905 "
109,27-Feb-13,Jack the Giant Slayer,"  $195,000,000 ","  $65,187,603 ","  $197,687,603 "
110,1-Apr-15,Furious 7,"  $190,000,000 ","  $353,007,020 ","  $1,511,986,364 "
111,28-Feb-24,Dune: Part Two,"  $190,000,000 ","  $282,144,358 ","  $709,565,868 "
112,16-May-13,Star Trek Into Darkness,"  $190,000,000 ","  $228,778,661 ","  $467,381,584 "
113,19-Jun-13,World War Z,"  $190,000,000 ","  $202,706,711 ","  $531,861,650 "
114,10-May-13,The Great Gatsby,"  $190,000,000 ","  $144,840,419 ","  $353,497,733 "
115,5-Nov-09,Disney’s A Christmas Carol,"  $190,000,000 ","  $137,855,863 ","  $315,709,697 "
116,11-Jul-13,Pacific Rim,"  $190,000,000 ","  $101,802,906 ","  $411,002,906 "
117,1-Oct-24,Joker: Folie à Deux,"  $190,000,000 ","  $58,300,287 ","  $206,174,485 "
118,16-Dec-21,The Matrix Resurrections,"  $190,000,000 ","  $40,463,197 ","  $159,197,755 "
119,25-Nov-15,The Good Dinosaur,"  $187,500,000 ","  $123,087,120 ","  $333,771,037 "
120,30-Apr-08,Iron Man,"  $186,000,000 ","  $318,604,126 ","  $584,877,827 "
121,11-Jul-08,The Dark Knight,"  $185,000,000 ","  $534,235,491 ","  $1,007,695,772 "
122,22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,"  $185,000,000 ","  $317,101,119 ","  $786,635,413 "
123,21-Jun-12,Brave,"  $185,000,000 ","  $237,282,182 ","  $554,606,532 "
124,23-Feb-17,Kong: Skull Island,"  $185,000,000 ","  $168,052,812 ","  $561,072,059 "
125,21-Jul-16,Star Trek Beyond,"  $185,000,000 ","  $158,848,340 ","  $335,673,708 "
126,17-Oct-19,Maleficent: Mistress of Evil,"  $185,000,000 ","  $113,929,605 ","  $489,181,357 "
127,29-Sep-17,Blade Runner 2049,"  $185,000,000 ","  $92,054,159 ","  $258,157,449 "
128,25-Oct-19,Terminator: Dark Fate,"  $185,000,000 ","  $62,253,077 ","  $250,367,666 "
129,28-Jul-21,The Suicide Squad,"  $185,000,000 ","  $55,817,425 ","  $167,097,737 "
130,22-May-19,Aladdin,"  $182,000,000 ","  $355,559,216 ","  $1,046,587,513 "
131,25-Oct-17,Thor: Ragnarok,"  $180,000,000 ","  $315,058,289 ","  $850,482,778 "
132,9-Dec-05,"The Chronicles of Narnia: The Lion, the Witch a…","  $180,000,000 ","  $291,710,957 ","  $720,539,572 "
133,28-May-14,Maleficent,"  $180,000,000 ","  $241,407,328 ","  $758,536,735 "
134,14-Nov-16,Fantastic Beasts and Where to Find Them,"  $180,000,000 ","  $234,037,575 ","  $811,724,385 "
135,27-Jun-08,WALL-E,"  $180,000,000 ","  $223,808,164 ","  $532,508,025 "
136,10-Aug-07,Rush Hour 3,"  $180,000,000 ","  $140,125,968 ","  $256,585,882 "
137,27-Jun-16,The Legend of Tarzan,"  $180,000,000 ","  $126,643,061 ","  $348,902,025 "
138,23-Nov-11,Hugo,"  $180,000,000 ","  $73,864,507 ","  $180,047,784 "
139,20-Jul-17,Valerian and the City of a Thousand Planets,"  $180,000,000 ","  $40,479,370 ","  $215,098,356 "
140,6-Feb-15,Jupiter Ascending,"  $179,000,000 ","  $47,482,519 ","  $181,982,519 "
141,16-Jul-18,Mission: Impossible—Fallout,"  $178,000,000 ","  $220,159,104 ","  $786,626,183 "
142,18-May-16,X-Men: Apocalypse,"  $178,000,000 ","  $155,442,489 ","  $542,537,546 "
143,9-Aug-18,The Meg,"  $178,000,000 ","  $145,443,742 ","  $527,267,828 "
144,28-May-14,Edge of Tomorrow,"  $178,000,000 ","  $100,206,256 ","  $367,028,980 "
145,6-Mar-19,Captain Marvel,"  $175,000,000 ","  $426,829,839 ","  $1,129,576,094 "
146,7-Apr-16,The Jungle Book,"  $175,000,000 ","  $364,001,123 ","  $951,806,722 "
147,12-Jun-15,Inside Out,"  $175,000,000 ","  $356,461,711 ","  $850,309,035 "
148,5-Jul-17,Spider-Man: Homecoming,"  $175,000,000 ","  $334,580,976 ","  $878,852,749 "
149,2-Aug-16,Suicide Squad,"  $175,000,000 ","  $325,100,054 ","  $745,744,980 "
150,28-May-09,Up,"  $175,000,000 ","  $293,004,164 ","  $731,463,377 "
151,27-Oct-17,Coco,"  $175,000,000 ","  $210,460,015 ","  $796,397,165 "
152,21-Nov-18,Ralph Breaks The Internet,"  $175,000,000 ","  $201,091,711 ","  $529,290,830 "
153,27-Mar-09,Monsters vs. Aliens,"  $175,000,000 ","  $198,351,526 ","  $381,687,380 "
154,16-Jun-17,Cars 3,"  $175,000,000 ","  $152,901,115 ","  $383,541,369 "
155,7-Aug-09,G.I. Joe: The Rise of Cobra,"  $175,000,000 ","  $150,201,498 ","  $302,469,017 "
156,30-Jun-99,Wild Wild West,"  $175,000,000 ","  $113,805,681 ","  $221,229,335 "
157,1-Aug-08,The Mummy: Tomb of the Dragon Emperor,"  $175,000,000 ","  $102,491,776 ","  $405,760,225 "
158,22-Jun-07,Evan Almighty,"  $175,000,000 ","  $100,289,690 ","  $174,131,329 "
159,28-Jul-95,Waterworld,"  $175,000,000 ","  $88,246,220 ","  $264,246,220 "
160,8-Jan-20,Dolittle,"  $175,000,000 ","  $77,047,065 ","  $251,509,294 "
161,11-May-17,King Arthur: Legend of the Sword,"  $175,000,000 ","  $39,175,066 ","  $139,630,336 "
162,6-Dec-13,47 Ronin,"  $175,000,000 ","  $38,362,475 ","  $151,716,815 "
163,10-Mar-22,Turning Red,"  $175,000,000 ","  $1,399,001 ","  $12,271,142 "
164,20-May-22,Top Gun: Maverick,"  $170,000,000 ","  $718,732,821 ","  $1,463,641,406 "
165,6-Jun-18,Jurassic World: Fallen Kingdom,"  $170,000,000 ","  $417,719,760 ","  $1,308,323,302 "
166,31-Jul-14,Guardians of the Galaxy,"  $170,000,000 ","  $333,714,112 ","  $770,882,395 "
167,29-Apr-10,Iron Man 2,"  $170,000,000 ","  $312,433,331 ","  $621,156,389 "
168,28-Mar-14,Captain America: The Winter Soldier,"  $170,000,000 ","  $259,746,958 ","  $714,401,889 "
169,9-Jul-14,Dawn of the Planet of the Apes,"  $170,000,000 ","  $208,545,589 ","  $710,644,566 "
170,10-Nov-04,The Polar Express,"  $170,000,000 ","  $188,042,855 ","  $312,183,437 "
171,30-May-12,Snow White and the Huntsman,"  $170,000,000 ","  $155,136,755 ","  $401,021,746 "
172,1-Jul-03,Terminator 3: Rise of the Machines,"  $170,000,000 ","  $150,358,296 ","  $433,058,296 "
173,5-May-04,Van Helsing,"  $170,000,000 ","  $120,150,546 ","  $300,150,546 "
174,27-Mar-19,Dumbo,"  $170,000,000 ","  $114,766,307 ","  $353,166,307 "
175,29-May-19,Godzilla: King of the Monsters,"  $170,000,000 ","  $110,500,138 ","  $383,299,914 "
176,20-May-15,Tomorrowland,"  $170,000,000 ","  $93,436,322 ","  $206,627,518 "
177,1-Feb-19,Alita: Battle Angel,"  $170,000,000 ","  $85,838,210 ","  $401,900,040 "
178,20-May-16,Alice Through the Looking Glass,"  $170,000,000 ","  $77,042,381 ","  $276,928,112 "
179,22-May-24,Furiosa: A Mad Max Saga,"  $168,000,000 ","  $67,475,791 ","  $172,413,189 "
180,1-Jun-22,Jurassic World: Dominion,"  $165,000,000 ","  $376,851,080 ","  $1,004,004,592 "
181,21-May-10,Shrek Forever After,"  $165,000,000 ","  $238,736,787 ","  $756,244,673 "
182,24-Oct-16,Doctor Strange,"  $165,000,000 ","  $232,641,920 ","  $676,343,174 "
183,25-Oct-14,Big Hero 6,"  $165,000,000 ","  $222,527,828 ","  $647,263,005 "
184,26-Mar-10,How to Train Your Dragon,"  $165,000,000 ","  $217,581,232 ","  $494,870,992 "
185,1-Nov-12,Wreck-It Ralph,"  $165,000,000 ","  $189,412,677 ","  $496,511,521 "
186,5-Nov-14,Interstellar,"  $165,000,000 ","  $188,017,894 ","  $646,213,604 "
187,15-Sep-21,Dune,"  $165,000,000 ","  $109,987,830 ","  $429,941,853 "
188,22-Jun-16,Independence Day: Resurgence,"  $165,000,000 ","  $103,144,286 ","  $384,169,424 "
189,29-Jul-11,Cowboys and Aliens,"  $163,000,000 ","  $100,368,560 ","  $176,038,324 "
190,16-Mar-17,Beauty and the Beast,"  $160,000,000 ","  $504,014,165 ","  $1,268,697,483 "
191,27-Jun-19,Spider-Man: Far From Home,"  $160,000,000 ","  $391,362,492 ","  $1,132,298,674 "
192,6-Dec-18,Aquaman,"  $160,000,000 ","  $335,061,807 ","  $1,131,849,702 "
193,17-May-07,Shrek the Third,"  $160,000,000 ","  $322,719,944 ","  $807,330,936 "
194,16-Jul-10,Inception,"  $160,000,000 ","  $292,576,195 ","  $825,786,894 "
195,18-Nov-15,The Hunger Games: Mockingjay - Part 2,"  $160,000,000 ","  $281,723,902 ","  $646,219,954 "
196,17-May-13,Fast and Furious 6,"  $160,000,000 ","  $238,679,850 ","  $789,300,444 "
197,14-May-14,Godzilla,"  $160,000,000 ","  $200,676,069 ","  $529,076,069 "
198,8-May-24,Kingdom of the Planet of the Apes,"  $160,000,000 ","  $171,130,165 ","  $397,369,969 "
199,3-Jun-11,X-Men: First Class,"  $160,000,000 ","  $146,408,305 ","  $355,408,305 "
200,25-Dec-08,The Curious Case of Benjamin Button,"  $160,000,000 ","  $127,509,326 ","  $329,631,958 "
201,14-Jul-10,The Sorcerer's Apprentice,"  $160,000,000 ","  $63,150,991 ","  $217,986,320 "
202,12-May-06,Poseidon,"  $160,000,000 ","  $60,674,817 ","  $181,674,817 "
203,25-May-16,Warcraft,"  $160,000,000 ","  $47,365,290 ","  $438,899,824 "
204,1-Nov-19,The Irishman,"  $159,000,000 ",  $0 ,"  $914,706 "
205,26-Jul-23,Haunted Mansion,"  $157,750,000 ","  $67,653,287 ","  $114,797,989 "
206,29-Sep-16,Deepwater Horizon,"  $156,000,000 ","  $61,433,527 ","  $122,333,118 "
207,11-Jul-24,Twisters,"  $155,000,000 ","  $267,762,265 ","  $369,748,265 "
208,10-Dec-10,The Chronicles of Narnia: The Voyage of the Daw…,"  $155,000,000 ","  $104,386,950 ","  $418,186,950 "
209,25-Mar-21,Godzilla vs. Kong,"  $155,000,000 ","  $100,916,094 ","  $449,450,112 "
210,24-Jun-15,Terminator: Genisys,"  $155,000,000 ","  $89,760,956 ","  $432,150,894 "
211,16-Mar-18,Pacific Rim: Uprising,"  $155,000,000 ","  $59,874,525 ","  $290,930,148 "
212,24-Nov-04,Alexander,"  $155,000,000 ","  $34,297,191 ","  $167,297,191 "
213,14-Jul-17,War for the Planet of the Apes,"  $152,000,000 ","  $146,880,162 ","  $489,592,267 "
214,25-May-01,Pearl Harbor,"  $151,500,000 ","  $198,539,855 ","  $449,239,853 "
215,19-Jul-23,Barbie,"  $151,000,000 ","  $636,238,421 ","  $1,444,999,654 "
216,28-Jun-07,Transformers,"  $151,000,000 ","  $319,246,193 ","  $708,272,592 "
217,20-Nov-19,Frozen II,"  $150,000,000 ","  $477,373,578 ","  $1,451,653,316 "
218,29-May-17,Wonder Woman,"  $150,000,000 ","  $412,563,408 ","  $817,691,766 "
219,22-Nov-13,Frozen,"  $150,000,000 ","  $400,953,009 ","  $1,272,565,662 "
220,10-Feb-16,Zootopia,"  $150,000,000 ","  $341,268,248 ","  $1,000,877,770 "
221,11-Jul-07,Harry Potter and the Order of the Phoenix,"  $150,000,000 ","  $292,137,260 ","  $937,034,773 "
222,18-Nov-05,Harry Potter and the Goblet of Fire,"  $150,000,000 ","  $290,201,752 ","  $885,222,986 "
223,15-May-03,The Matrix Reloaded,"  $150,000,000 ","  $281,553,689 ","  $738,576,929 "
224,14-Dec-07,I am Legend,"  $150,000,000 ","  $256,393,010 ","  $585,532,684 "
225,27-Jan-16,Moana,"  $150,000,000 ","  $248,757,044 ","  $686,127,612 "
226,1-Jul-08,Hancock,"  $150,000,000 ","  $227,946,274 ","  $624,234,272 "
227,1-Sep-21,Shang-Chi and the Legend of the Ten Rings,"  $150,000,000 ","  $224,543,292 ","  $432,224,634 "
228,15-Jul-05,Charlie and the Chocolate Factory,"  $150,000,000 ","  $206,459,076 ","  $475,825,484 "
229,29-Jun-07,Ratatouille,"  $150,000,000 ","  $206,445,654 ","  $626,549,695 "
230,30-Oct-13,Thor: The Dark World,"  $150,000,000 ","  $206,362,140 ","  $644,602,516 "
231,15-Jun-05,Batman Begins,"  $150,000,000 ","  $205,343,774 ","  $356,770,593 "
232,29-Jul-15,Mission: Impossible—Rogue Nation,"  $150,000,000 ","  $195,042,377 ","  $688,858,992 "
233,18-Jul-17,Dunkirk,"  $150,000,000 ","  $190,068,280 ","  $509,736,928 "
234,29-Apr-11,Thor,"  $150,000,000 ","  $181,030,624 ","  $449,326,618 "
235,7-Nov-08,Madagascar: Escape 2 Africa,"  $150,000,000 ","  $180,174,880 ","  $599,680,774 "
236,1-May-09,X-Men Origins: Wolverine,"  $150,000,000 ","  $179,883,157 ","  $374,825,760 "
237,22-May-09,Night at the Museum: Battle of the Smithsonian,"  $150,000,000 ","  $177,243,721 ","  $402,231,063 "
238,26-May-11,Kung Fu Panda 2,"  $150,000,000 ","  $165,249,063 ","  $664,837,547 "
239,14-May-15,Mad Max: Fury Road,"  $150,000,000 ","  $153,636,354 ","  $368,297,521 "
240,3-May-19,Pokémon: Detective Pikachu,"  $150,000,000 ","  $144,105,346 ","  $428,919,826 "
241,5-Nov-03,The Matrix Revolutions,"  $150,000,000 ","  $139,270,910 ","  $427,300,260 "
242,20-Mar-18,Ready Player One,"  $150,000,000 ","  $137,690,172 ","  $579,055,653 "
243,4-Nov-05,Chicken Little,"  $150,000,000 ","  $135,386,665 ","  $310,043,823 "
244,5-May-06,Mission: Impossible III,"  $150,000,000 ","  $133,501,348 ","  $399,387,745 "
245,15-May-09,Angels & Demons,"  $150,000,000 ","  $133,375,846 ","  $490,875,846 "
246,13-May-04,Troy,"  $150,000,000 ","  $133,298,577 ","  $483,152,040 "
247,1-Jul-10,The Last Airbender,"  $150,000,000 ","  $131,772,187 ","  $319,713,881 "
248,2-Nov-07,Bee Movie,"  $150,000,000 ","  $126,631,277 ","  $287,594,577 "
249,24-Jul-09,G-Force,"  $150,000,000 ","  $119,436,770 ","  $292,817,841 "
250,21-Nov-08,Bolt,"  $150,000,000 ","  $114,053,579 ","  $328,015,029 "
251,24-Nov-21,Encanto,"  $150,000,000 ","  $96,093,622 ","  $231,181,871 "
252,2-Mar-23,Dungeons & Dragons: Honor Among Thieves,"  $150,000,000 ","  $93,549,650 ","  $207,854,947 "
253,28-Mar-12,Wrath of the Titans,"  $150,000,000 ","  $83,670,083 ","  $305,270,083 "
254,16-Nov-07,Beowulf,"  $150,000,000 ","  $82,280,579 ","  $195,080,579 "
255,9-May-12,Dark Shadows,"  $150,000,000 ","  $79,727,149 ","  $245,564,215 "
256,28-Jun-13,White House Down,"  $150,000,000 ","  $73,103,784 ","  $205,440,387 "
257,14-Jul-21,Space Jam: A New Legacy,"  $150,000,000 ","  $70,592,228 ","  $143,315,849 "
258,12-Feb-10,The Wolfman,"  $150,000,000 ","  $62,189,884 ","  $142,634,358 "
259,15-Dec-16,The Great Wall,"  $150,000,000 ","  $45,157,105 ","  $334,486,852 "
260,25-Sep-15,Pan,"  $150,000,000 ","  $35,088,320 ","  $151,525,973 "
261,11-Mar-11,Mars Needs Moms,"  $150,000,000 ","  $21,392,758 ","  $39,549,758 "
262,3-Feb-22,Moonfall,"  $150,000,000 ","  $19,060,660 ","  $59,053,195 "
263,4-Nov-21,Red Notice,"  $150,000,000 ",  $0 ,"  $173,638 "
264,3-Jul-24,Beverly Hills Cop: Axel F,"  $150,000,000 ",  $0 ,  $0 
265,13-Dec-19,6 Underground,"  $150,000,000 ",  $0 ,  $0 
266,3-Nov-06,Flushed Away,"  $149,000,000 ","  $64,665,672 ","  $179,357,126 "
267,20-Nov-24,Wicked,"  $145,000,000 ","  $262,426,000 ","  $359,271,000 "
268,8-Jun-12,Madagascar 3: Europe's Most Wanted,"  $145,000,000 ","  $216,391,482 ","  $746,921,271 "
269,14-Dec-11,Mission: Impossible—Ghost Protocol,"  $145,000,000 ","  $209,397,903 ","  $694,713,230 "
270,5-Jun-14,How to Train Your Dragon 2,"  $145,000,000 ","  $177,002,924 ","  $614,586,270 "
271,16-Jun-99,Tarzan,"  $145,000,000 ","  $171,091,819 ","  $448,191,819 "
